Latitude,Longitude,State,District,Stunting,Wasting,Underweight
28.1288747,75.3995089,RJ,Bhilwara,35.5,33.8,42.6
29.9038399,73.8771901,RJ,Bikaner,33.7,24.4,33.2
25.1011,76.5132,RJ,Bundi,38.4,27.7,43.4
27.1983368,73.7493272,RJ,Chittaurgarh,37.4,23.8,41.9
28.2925364,74.9707262,RJ,Churu,31.2,21.7,27.1
26.7025181,77.893391,RJ,Dausa,33.8,15.3,28.1
29.5815012,74.3294199,RJ,Dhaulpur,54.3,15.8,39.8
25.1256823,72.1416132,RJ,Dungarpur,46.8,37.5,53.4
26.0377772,76.3521514,RJ,Ganganagar,29.1,20.6,29.3
27.5529907,76.6345735,RJ,Hanumangarh,35,20.7,23.4
23.5461394,74.4349761,RJ,Jaipur,35.7,12.8,25.2
26.488323,77.0161436,RJ,Jaisalmer,37.4,21.9,37.4
26.8931931,76.3375284,RJ,Jalor,45,27.2,42.7
23.841668,73.7146623,RJ,Jhalawar,38.1,31.8,47.2
26.1624,75.6208,RJ,Jhunjhunun,32.5,13.6,19.5
27.216981,77.489515,RJ,Jodhpur,40.3,23.8,38.6
25.8973038,81.9452981,RJ,Karauli,45.5,18.9,35.7
25.7711,73.3234,RJ,Kota,32,27.7,39.7
25.0714851,73.8830701,RJ,Nagaur,39.1,18.4,31.4
24.5973494,76.1609838,RJ,Pali,44.4,21.7,41.3
26.9157487,70.9083443,RJ,Pratapgarh,46.3,38.2,54.6
25.321377,74.586953,RJ,Rajsamand,38.6,28.9,38.8
24.8851548,72.8574558,RJ,Sawai Madhopur,39.4,16.4,34.4
24.585445,73.712479,RJ,Sikar,28.4,11.5,20.5
25.4305144,75.6499025,RJ,Sirohi,42.3,36.6,50.4
25.7531537,71.4180622,RJ,Tonk,32,23.6,37.3
24.8887435,74.6269216,RJ,Udaipur,47.5,29.9,52
27.3084,88.6724,SK,East,24,11.9,11.2
27.3032,88.2072,SK,North,24.1,19.3,17.9
27.2858,88.3946,SK,South,32.8,18.5,20.5
27.8236,88.5565,SK,West,42.3,14.5,14.7
17.385044,78.486671,TG,Adilabad,38.3,22.1,35.8
17.2472528,80.1514447,TG,Hyderabad,15.7,14.1,16.8
19.6640624,78.5320107,TG,Karimnagar,24.3,19.3,25.4
17.3891379,77.8367282,TG,Khammam,26.5,13.7,22.2
16.7375089,78.0081221,TG,Mahbubnagar,37.1,18.6,34.5
18.6725047,78.0940867,TG,Medak,33.4,20.7,37
18.0529357,78.261853,TG,Nalgonda,28.9,23.1,34.1
17.9689008,79.5940544,TG,Nizamabad,36.6,22,36.3
18.4385553,79.1288412,TG,Rangareddy,26.2,14.8,25.8
17.1882998,79.1999949,TG,Warangal,26.6,16.6,29.1
12.5186113,78.2137365,TN,Ariyalur,37,20.3,29.7
11.0168445,76.9558321,TN,Chennai,30.9,18.1,17.2
11.3410364,77.7171642,TN,Coddalore,28.2,19.7,25
10.3673123,77.9802906,TN,Coimbatore,27.3,21.3,22.9
11.9368897,79.4872619,TN,Dharmapuri,24.2,33,29.6
11.6643,78.146,TN,Dindigul,31.1,26.5,29.8
10.9600778,78.0766036,TN,Erode,25.6,16.3,16.1
11.4916043,76.7336521,TN,Kancheepuram,25,13.9,16.1
12.1065271,78.1361409,TN,Kanniyakumari,17.2,9,12.8
11.7480419,79.7713687,TN,Karur,27.5,23,28.9
12.8341735,79.7036402,TN,Krishnagiri,25.1,20.1,23.1
12.9165167,79.1324986,TN,Madurai,21.2,12.7,19.5
10.7656082,79.8423888,TN,Nagapattinam,24.5,17.4,22.9
13.0826802,80.2707184,TN,Namakkal,25.2,15,18
12.2252841,79.0746957,TN,Perambalur,24,18.2,22
11.2409839,78.8665733,TN,Pudukkottai,26.7,20.9,25
10.379663,78.8208454,TN,Ramanathapuram,22.5,17,22.6
