Date,State,District,Latitude,Longitude,Households,Women,Men,Rural_Urban Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __
01-06-2015,MP,Ashoknagar,24.5775148,77.7318495,945,1083,200,Rural,58.6,32.5,889,942,86.1,88.3,91.7,19.8,15.9,90.6,19
01-06-2015,JK,Kathua,32.3864799,75.5172688,821,1081,254,Rural,71.6,24.2,905,804,95.1,99.6,84.6,43.5,40.4,95.2,5.1
01-06-2015,JK,Pulwama,33.8716117,74.8945692,811,1078,247,Rural,62.7,24,948,870,68.4,98.7,95.8,66.1,78.6,99.4,1.3
01-06-2015,RJ,Bharatpur,27.216981,77.489515,911,1077,176,Rural,56.3,36.3,970,941,52.2,90.7,73.7,34.3,16.2,91.7,13.2
01-06-2015,HR,Jind,29.3211153,76.3058328,836,1075,142,Rural,68.7,27.5,893,1003,98.6,99.5,91.4,84.6,36.8,94.6,9.5
01-06-2015,MP,Balaghat,21.812876,80.1838293,912,1074,135,Rural,73.9,28,1067,1038,84.2,88.2,76.2,28.4,16.4,95.7,17.7
01-06-2015,AS,Hailakandi,24.6811018,92.5638055,911,1073,159,Rural,75.9,32.5,962,963,97.7,55.4,51.2,36,13.8,99.8,8.8
01-06-2015,AS,Morigaon,26.2599654,92.2630393,919,1073,143,Rural,75.5,33.4,1016,1081,93.7,77.7,98,40.1,18,99.3,25.9
01-06-2015,AS,Sonitpur,26.6738851,92.8577105,916,1073,136,Rural,73.8,28.1,1005,958,97.8,79.6,71.2,61,22.7,99.7,10.4
01-06-2015,BR,Purba Champaran,26.6098139,84.8567932,926,1072,81,Rural,50.6,42.9,1064,894,44.7,40.4,99.4,20.5,14.4,91.7,10.8
01-06-2015,MP,Katni,23.8308453,80.4072255,917,1072,156,Rural,68.4,29.2,996,1228,88.8,82.3,90.6,23.2,18.8,79.3,17.2
01-06-2015,UT,Bageshwar,29.8403606,79.769426,926,1072,107,Rural,73.3,29.5,1144,879,69.5,97.5,83,67.4,23,94.8,34.2
01-06-2015,MP,Sidhi,24.3956038,81.8825279,922,1068,138,Rural,62.8,35.5,1005,886,69.5,77,70.3,10,6.9,91,20.8
01-06-2015,MP,Betul,21.9671753,77.7452081,881,1067,148,Rural,69,26.9,1010,933,77.2,92,85.5,30.7,28,95.9,19.2
01-06-2015,OR,Subarnapur,20.9338113,83.804868,919,1067,146,Rural,69.6,25,1037,1034,89.3,89.1,96.7,16,12.7,99.4,60.4
01-06-2015,BR,Nalanda,25.2621826,85.4788065,946,1066,128,Rural,56.7,39.8,1037,859,63.2,69.3,97.9,31,23.4,97.8,27.2
01-06-2015,AS,Lakhimpur,27.9462395,80.7787163,897,1065,137,Rural,80.4,29.8,1044,1010,92.9,77.6,73.4,49.6,18.9,99.9,9.5
01-06-2015,JH,Deoghar,24.4763201,86.6913222,916,1064,154,Rural,59.9,34.2,958,778,62.6,80.4,86.6,22.3,20.5,96.9,8.2
01-06-2015,UP,Shahjahanpur,27.883744,79.9122455,907,1064,155,Rural,60,37,952,981,23.5,53.2,99.8,33.4,26,92,3.1
01-06-2015,RJ,Pratapgarh,25.8973038,81.9452981,928,1063,148,Rural,48.7,32.7,982,796,63.7,75.3,83.1,15.1,13.6,95.2,10.5
01-06-2015,HR,Ambala,30.3781788,76.7766974,834,1062,152,Both,81.9,22.8,846,730,98.5,99.8,99.7,89.9,67.8,96,16.7
01-06-2015,JK,Baramula,34.1595145,74.3587473,809,1062,297,Rural,64.2,26,925,872,79.5,99.8,92.6,62.4,70.6,98.5,0.6
01-06-2015,RJ,Pali,25.7711,73.3234,920,1061,123,Rural,56.7,30.1,1056,875,71.3,95.1,80.3,50.9,40.8,97.6,32.8
01-06-2015,MP,Tikamgarh,24.7456147,78.8320779,894,1060,148,Rural,58.6,32.2,909,873,71.1,84.9,74,13.9,14.6,72.3,7.8
01-06-2015,RJ,Rajsamand,25.0714851,73.8830701,930,1060,138,Rural,55.6,30.6,1001,780,77.5,95.2,80.7,32.3,25.1,94.8,8.8
01-06-2015,JH,Pakur,24.6336908,87.8500644,913,1059,144,Rural,51.3,36.9,1022,945,70.5,77.6,89.3,13.4,6.5,97.1,16.6
01-06-2015,HR,Mewat,28.0106916,77.0564464,793,1058,173,Rural,47.1,43.9,932,891,75.7,88.5,78.9,46.7,17.2,67.5,7.9
01-06-2015,PY,Mahe,11.7027,75.5364,786,1058,132,Urban,95.9,22.2,1201,1153,100,99.7,89.9,98.2,86.9,98.8,43.8
01-06-2015,MZ,Aizawl,23.727107,92.7176389,896,1056,132,Urban,95.9,27.6,1064,902,96.9,99.7,93.3,90.9,87.5,98.8,38.1
01-06-2015,UP,Shrawasti,27.5977504,81.9534815,922,1055,111,Rural,42.7,43.2,1042,911,34.4,25.6,98,10.4,9.2,74.7,8.4
01-06-2015,AS,Sivasagar,26.9826098,94.6424521,926,1054,162,Rural,78.4,25.3,994,1002,92.7,78.7,96.2,55.5,26.4,99.9,13.3
01-06-2015,MN,Senapati,25.3203,94.1514,896,1052,143,Rural,80.1,33.6,986,858,49.9,92.7,35.4,59.6,19,98.5,0.6
01-06-2015,ML,West Khasi Hills,25.5624625,91.2891036,921,1051,135,Rural,85.7,41.1,956,990,76.5,89.8,72.7,79.7,6.9,99.5,42.8
01-06-2015,PB,Amritsar,31.6339793,74.8722642,830,1051,158,Both,77.4,26.3,916,772,97.5,99.4,100,78.3,72.8,99.5,19.7
01-06-2015,OR,Baudh,20.828446,84.3271305,932,1050,135,Rural,68.4,27.6,995,973,70.9,86.9,88.8,16.4,11.5,90.6,61.7
01-06-2015,PB,Sangrur,30.2457963,75.8420716,833,1050,166,Rural,68.5,21.7,893,736,96.3,99.5,98.6,87.7,51.8,95.6,15.3
01-06-2015,MP,Bhind,26.5587354,78.7872876,946,1049,163,Rural,62.7,29.9,855,821,82.4,87.9,93.1,30.6,18.3,93.8,11.2
01-06-2015,OR,Jagatsinghapur,20.2548998,86.1706221,925,1049,106,Rural,80,21,1070,929,86.6,92.9,96.9,30.8,12.8,99.2,51.2
01-06-2015,SK,North,27.8236,88.5565,934,1049,186,Rural,79.3,23.4,917,953,100,99.6,98.2,89.3,48.8,99.3,32.3
01-06-2015,OR,Balangir,20.7074234,83.4842725,929,1047,129,Rural,64.9,28.1,1033,1058,72.5,82.6,94,14.1,9.2,98.7,50.1
01-06-2015,AR,Tirap,26.9942703,95.5407299,919,1046,155,Rural,70.3,31.8,885,912,63.7,97.9,68.3,54.9,21,99.2,59.4
01-06-2015,UP,Kheri,28.16514,80.6326916,893,1046,143,Rural,55.7,36.4,935,840,38.4,41.4,99.1,22.5,16.4,83.9,5.1
01-06-2015,BR,Munger,25.3748,86.4735,946,1045,145,Rural,67.6,35.2,970,878,63.4,68.8,90.5,34.1,26.3,95.7,8.1
01-06-2015,JH,Gumla,23.0441295,84.5379455,915,1045,125,Rural,65.9,36,1067,1007,59.4,77,47.5,16.3,10.6,98.6,26.3
01-06-2015,AS,Baksa,26.6935448,91.5983959,891,1044,125,Rural,71.9,28.3,1046,968,97.3,81.8,82.4,54.3,16.6,99.2,3.7
01-06-2015,AS,Cachar,24.7821253,92.8577105,903,1044,162,Rural,78,30.1,992,942,93.5,67.5,61.6,37.3,28.8,99.9,3.1
01-06-2015,AS,Goalpara,26.0875755,90.563609,908,1043,160,Rural,73.4,34,986,851,95,71.3,87.1,46.2,21.3,99.6,11.8
01-06-2015,PB,Patiala,30.3397809,76.3868797,833,1042,178,Both,76.8,22.6,903,909,97.7,99.9,99.4,87.5,68.6,98.1,14.5
01-06-2015,JH,Chatra,24.1526331,84.8567932,888,1040,102,Rural,57.3,39.4,1046,938,60.8,42,66.5,14.6,10.8,98.2,12.8
01-06-2015,MP,Dindori,22.8457457,81.0754657,903,1039,140,Rural,59.4,31.5,1004,889,80,73.4,71.3,6.9,4,78.9,35.6
01-06-2015,RJ,Jhalawar,24.5973494,76.1609838,932,1038,157,Rural,53.4,28.4,948,807,78.4,95,84.5,36.1,25.5,96.6,11.6
01-06-2015,BR,Samastipur,25.8629679,85.7810263,946,1034,110,Rural,56.4,39.8,1063,1049,58.9,39.9,98.5,19.2,14,87.6,11.6
01-06-2015,PB,Bathinda,30.210994,74.9454745,836,1033,176,Both,71.1,22.6,914,991,98.4,99.5,96.7,85,62.7,98.7,17.8
01-06-2015,JK,Kargil,34.5538522,76.1348944,804,1032,227,Rural,64.3,32.1,970,818,73.6,97.3,86.7,16.5,43.8,98.2,1.9
