State,District,Households,Women,Men,Rural_Urban_Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __,num
GJ,Amreli,835,933,210,Rural,68.1,22.9,927,820,96.5,98.9,96.6,74.8,52.4,94,11.8,1
JK,Doda,799,933,205,Rural,56,34.6,1033,1020,79.9,94.4,86.3,45.5,15.8,84.7,2.9,1
GJ,Porbandar,835,932,234,Both,71.6,22.6,941,803,99.3,99.3,85.1,72.4,48.4,98.8,10.3,1
MH,Solapur,773,931,137,Both,71.9,25.3,963,816,96.2,88.9,86.9,49.3,50.7,96.4,21.5,1
UT,Almora,883,931,76,Rural,69.7,28.8,1259,986,75.8,96.4,83.9,65,26.6,85.9,16.1,1
KA,Belgaum,798,930,142,Rural,69.8,26.5,960,967,99.1,98.1,98.6,40.2,47.1,96.3,16.9,1
WB,Haora,793,930,126,Both,81.8,23,1001,974,96,97.8,96.5,60,47.2,97.5,21.1,1
WB,South Twenty Four Parganas,792,930,106,Rural,76.5,26.7,1037,1067,98.5,87.4,97.7,51.7,19.3,94.6,25.3,1
JK,Kishtwar,814,929,223,Rural,52.6,30.8,956,889,93,87.8,87.1,39,23.9,89.4,1.6,1
JH,Palamu,870,928,140,Rural,57.6,35.7,998,1009,52.9,62.4,90.5,17.2,16.2,94.8,26.6,1
TN,Chennai,819,928,126,Urban,88.7,22.2,1032,1531,98.9,99.6,77.4,82.3,96.7,96.4,56.8,1
WB,Darjiling,777,928,125,Both,77,22.4,992,1006,98.7,95.4,71,61,56.3,98.6,24.5,1
WB,Nadia,836,928,143,Rural,73.7,23.4,1015,812,98,95.6,95,68.5,28.2,95.8,38.5,1
GJ,Bhavnagar,818,926,201,Both,67.5,26.5,944,949,98.1,99.5,95.8,65.8,46.3,87.2,10.1,1
HP,Chamba,768,925,171,Rural,68.8,27.5,1128,936,93.8,98.7,89.4,75.7,25.4,98.7,36.7,1
PB,Hoshiarpur,827,925,121,Rural,83.4,22.7,943,894,98.8,99.8,99.8,76.2,62.7,98.9,16,1
PB,Rup Nagar,790,925,117,Rural,81.3,23.3,950,827,98.3,100,99.8,80.9,67.6,97.7,41.8,1
WB,Purba Medinipur,800,925,140,Rural,78.8,24.7,991,998,99,97.5,98.9,66.9,10.9,86.6,33.8,1
CT,Jashpur,914,924,144,Rural,63.7,30.1,995,961,78.4,84.1,83.3,15.1,7.6,99.3,78.1,1
UP,Fatehpur,892,923,124,Rural,59,31.2,1008,799,54.5,45.4,97.6,26.6,17.6,96.1,1.2,1
HR,Gurgaon,796,922,141,Both,76.7,30.2,812,916,91.1,99.8,97.9,66.3,82,94.8,18.4,1
KA,Gulbarga,803,922,135,Both,60.8,30.9,989,914,93,98.2,94.9,29.1,35.1,85.8,22.9,1
PY,Karaikal,769,922,124,Both,84,23.9,1108,890,98.5,99.5,98.1,69.1,73.1,87.6,36,1
GJ,Junagadh,804,921,211,Both,71.8,24.9,974,893,99.5,99.3,97.8,75.1,47.8,96.8,24.9,1
GJ,Banaskantha,795,918,229,Rural,55.7,30.5,992,1049,94.9,87.3,97.8,39.6,27.6,97.7,20.9,1
PB,Ludhiana,814,918,129,Both,82,23,862,827,98.2,99.9,100,80.8,76.8,98.6,24,1
KA,Koppal,797,917,160,Rural,63.8,29.5,980,997,92.3,98.2,92.6,48.9,33.6,84.1,34.9,1
OR,Debagarh,916,917,110,Rural,69.3,28.8,1072,1136,65.1,81.5,85.6,30.9,7.4,93.5,51.7,1
AR,Upper Subansiri,900,916,123,Rural,61.8,33.6,987,909,44.1,88.3,86.2,59.9,38.5,99.3,71,1
MH,Parbhani,771,916,140,Both,65.2,29.7,1006,1114,96.2,91.7,89.9,34,26.6,99.1,10.3,1
TN,Tiruvannamalai,819,916,151,Rural,70.2,23.4,1011,845,98.8,98.8,96.4,31,63.8,72.2,59,1
KA,Bellary,785,912,149,Both,59.5,29.1,952,886,92.3,98.1,94.4,40.7,46.7,76.9,21.5,1
KA,Dharwad,804,912,134,Both,76.7,24.8,957,865,98.4,98.1,95.4,62,56.2,87.7,32.7,1
TN,Perambalur,821,912,140,Rural,72.5,24.2,1131,906,98.6,98.8,89.1,37.2,63.8,84,81.2,1
TN,Pudukkottai,813,912,126,Rural,72.5,25.4,1087,999,100,97,84.7,35.2,38.9,85.1,77.1,1
TN,Thiruvallur,817,911,188,Both,82.2,21.6,980,855,94,98.9,85.3,66.6,86.3,92.9,63.7,1
WB,Maldah,815,911,129,Rural,68.4,32.9,1019,881,93,94.1,82.9,44,15.8,93.6,40.6,1
GJ,Kheda,797,910,245,Rural,69.5,25.8,958,927,95.3,94.5,97.1,51.3,28.6,97.4,16.5,1
GJ,Sabarkantha,799,910,234,Rural,66.5,27.6,957,897,89.9,95.2,94.2,46.7,29.9,92.1,25.6,1
KL,Wayanad,853,909,175,Rural,88.9,21.9,1065,1241,95.2,96,93.4,95.3,33.2,96.9,61.8,1
UP,Mahoba,839,908,98,Rural,60.7,30.7,943,959,82.4,79.2,93.4,35.5,16.7,93.4,3.1,1
KA,Kolar,787,906,110,Both,69.9,23.6,961,829,93.9,98.7,67.3,58.1,56.5,80.6,30.1,1
UT,Rudraprayag,888,905,84,Rural,70.8,28.9,1169,879,78.6,98.8,86.5,67.6,32.5,87,29.9,1
AR,Kurung Kumey,909,902,112,Rural,54.1,36.8,1002,1124,32.1,91.2,92.4,46.7,39.2,99.2,67.6,1
KL,Kozhikode,835,901,126,Both,96.2,20.2,1033,954,97.2,99.2,96.4,99.4,51.8,98.4,59.7,1
TN,Namakkal,826,901,169,Both,74.1,20.7,1008,888,99.4,99.4,92.4,49.6,85.3,89,57.4,1
MH,Nandurbar,769,900,105,Rural,54.8,30.7,1019,1031,84.1,74.1,83.7,23.6,19.1,98.5,12.5,1
UP,Lalitpur,881,900,134,Rural,59.2,33.5,928,926,76.3,78,94.1,19.9,18.2,89.9,1.8,1
AP,Kurnool,799,899,141,Rural,56.6,29.4,1021,816,73.3,99.7,81.7,52.9,63.7,74.7,75.4,1
WB,Jalpaiguri,808,899,124,Rural,68.8,25.7,969,908,96.9,89.9,85.2,49.2,27,92.1,25.3,1
GJ,Anand,778,898,245,Both,77.7,24.8,962,851,98.4,97.6,96.2,67.2,43.1,86.6,14.5,1
