State,District,Households,Women,Men,Rural_Urban_Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __,num
KL,Kollam,816,793,137,Both,96.8,20,1043,851,99.6,98.2,94.4,98.1,58.8,99,45.5,1
TN,Theni,808,792,126,Both,70.6,23.2,1013,1206,98.9,97.4,96.2,47,73.3,61.2,53.6,1
UP,Banda,882,789,135,Rural,59.9,32.1,908,956,67.7,67.3,97.8,27.5,15,94.5,1,1
AR,Anjaw,884,787,127,Rural,62.7,31.5,910,1139,74.5,90.4,87.2,45.3,24.7,98.6,75.3,1
NL,Longleng,885,786,132,Rural,80.6,31.7,847,816,62.1,97.5,41.2,73.6,4.8,99.7,5.6,1
AP,Prakasam,800,785,102,Rural,53.5,25,1016,799,68.9,97.7,58.2,53.6,65.9,76.4,75.3,1
TN,Tiruchirappalli,785,785,142,Both,79,23.5,1048,1017,99.2,98.9,97.2,46.5,71.1,80.2,63.4,1
AR,East Kameng,825,783,96,Rural,56.8,40.5,999,1007,35.8,50.5,78.6,38.3,36.8,99.7,45.7,1
KL,Thiruvananthapuram,834,783,138,Both,95,19.7,1122,1115,98.9,99.3,92.7,96.8,52.4,99.2,57.9,1
AP,Y.S.R.,778,782,103,Both,59.2,24.6,1034,675,74.5,99.7,55.8,68.7,72.1,73.2,73,1
TG,Khammam,806,778,109,Rural,59.8,22.6,1036,978,80.6,97.2,84.5,50.3,70,99.2,71.1,1
TN,Ramanathapuram,735,777,99,Both,74.7,25.7,1101,732,98.1,98.2,76.2,45.4,55,67.5,59.3,1
AP,Visakhapatnam,768,772,107,Both,61.3,23.3,1047,1097,84.5,98.5,84.3,55.2,56.1,90.4,70,1
HP,Shimla,732,770,180,Rural,77.9,21.8,997,1233,94.9,99.7,97.8,74,67.2,98.9,28.7,1
MH,Osmanabad,773,769,121,Rural,68.1,25.4,961,821,92.6,87.8,89,27.3,31.8,98.6,6.8,1
GJ,Ahmadabad,754,768,209,Urban,83.7,22.1,904,871,97.8,99.2,95,88.5,83.4,96.4,34.4,1
KA,Ramanagara,780,766,126,Rural,63.8,20.7,1016,928,98.8,97.8,93.1,60.8,54.5,83.3,34.8,1
TG,Adilabad,782,764,107,Rural,52.6,26.2,1007,795,62.6,96.5,85,30.7,40.4,97.1,65.5,1
AR,West Siang,849,763,109,Rural,70.5,25.9,875,867,55.2,94.4,90.6,76,48.7,98.7,65.7,1
MH,Thane,712,763,136,Urban,81,23.6,922,895,93.6,90.6,92,64.7,76.7,93.5,15.7,1
TG,Rangareddy,757,762,118,Urban,71.8,25.1,967,837,85.2,99.5,80.7,51.2,84.4,98.4,58.6,1
AP,Guntur,789,761,104,Both,60.3,23,1015,637,90.6,99.5,74.9,63.2,79.7,82.5,74.5,1
TN,Thoothukkudi,799,761,125,Both,79.8,24.3,1135,1087,95.1,98.2,92.7,50.4,68.2,67.7,48.3,1
MH,Raigarh,721,759,117,Both,82,24.4,924,794,98,94,93.6,75.4,75.6,93.8,18.9,1
TG,Mahbubnagar,791,757,104,Rural,49.5,28.9,1007,952,69.3,97.8,71,32.8,47.1,80.4,76.5,1
KL,Kannur,795,753,110,Both,96.3,21,1092,1066,95.3,98.9,92.2,98.9,55.5,98,38.1,1
TG,Nizamabad,763,752,83,Rural,55.5,26.5,1101,752,86.4,97.7,82.3,42.3,56.9,95.4,67.8,1
AR,Upper Siang,858,749,94,Rural,66.7,25.1,898,1038,77.3,91.8,92.5,60,22.4,98.6,72.1,1
KL,Thrissur,829,749,111,Both,96.5,18.3,1075,1120,96,99.7,95.9,99.5,67.5,99.2,38.1,1
TG,Medak,760,743,107,Rural,57,26.1,1007,1026,91,97.5,85.2,53.3,48.7,98.2,71.8,1
AR,Dibang Valley,879,742,102,Rural,63.9,26.1,956,1296,52,89.9,99.3,77.8,24.7,99,75.2,1
MH,Pune,709,742,131,Both,82.3,21.5,924,927,95.9,95.9,95.3,63.5,81.4,95.7,21.4,1
AP,Chittoor,773,740,95,Rural,65,23.4,1079,1168,86.4,98.6,65.3,39.7,59.3,83.8,74.8,1
KL,Ernakulam,832,740,105,Both,97.7,18.8,1076,1246,98.6,99.9,97,99.3,79.7,97.7,47.7,1
MH,Satara,734,740,111,Rural,76.7,22.7,1034,1018,97.5,93.6,93,63.8,57,93.3,8.9,1
TN,Virudhunagar,793,738,110,Both,71.4,22.6,1079,948,98.5,98.6,84,36.5,73.3,62.8,45.5,1
AP,West Godavari,787,736,100,Rural,68.5,23,1020,834,87.3,98.7,74.3,61.2,62.3,85.1,79,1
KA,Chikmagalur,782,736,118,Rural,71.9,20.4,1059,1444,91.5,96.3,81.9,62.7,49.7,84.3,17.7,1
AR,Lower Subansiri,845,734,94,Rural,63,28.1,1010,976,55.2,98.5,97.6,73,64.5,99.6,66,1
TG,Warangal,784,730,110,Rural,61.4,22.4,1043,957,77,97.4,73.3,46.9,60.8,97.4,76.6,1
TG,Karimnagar,776,728,99,Rural,58.2,21.3,1102,881,91.9,98.8,69.9,53.9,70.7,98.8,64.8,1
MH,Ratnagiri,749,727,73,Rural,77.3,23,1134,984,98.8,96.1,85,67.8,34.2,85.1,9.8,1
TG,Nalgonda,801,723,108,Rural,55.1,24.1,988,831,81.8,97.3,54.4,50.1,60.3,90.5,76.1,1
KL,Alappuzha,826,718,121,Both,97.2,17.5,1101,1112,94.5,99.5,93.4,97,64.2,98.2,56,1
KL,Idukki,811,710,127,Rural,92.5,17.8,965,1139,98.4,99.2,92.4,94.6,47.2,99.1,54.2,1
TN,Tirunelveli,773,709,110,Both,74.6,22,1124,1050,93.5,99.1,97.4,45.8,72.3,54.9,54.3,1
AR,West Kameng,795,704,91,Rural,64.6,31.9,946,1027,62.4,98.1,94.8,58.8,56.1,99.2,53.7,1
KL,Kottayam,826,704,129,Rural,98.7,16.7,1029,1077,96.8,99.6,95.2,98.9,62.6,99.1,50.8,1
DL,South West,706,693,91,Urban,81.3,24.2,812,782,94,99.9,82.1,64.5,97.4,98.8,21.7,1
DL,West,716,690,88,Urban,85.2,22.5,869,778,92.3,100,93.8,87.8,99.5,99,20.1,1
AR,Tawang,800,689,78,Rural,41.4,27.9,1060,955,29.9,95.4,94.7,54.3,45.6,99.5,44.2,1
NL,Tuensang,762,677,87,Rural,78.5,37,942,953,63.7,97.2,91.4,73,9.3,99.5,5.1,1
MH,Mumbai Suburban,668,673,100,Urban,82.9,22.4,869,932,93.8,92.1,99.2,26.7,87.1,99.6,12.4,1
DL,North,658,669,49,Urban,83.1,24.8,825,1075,81.3,99.4,86.9,77.8,97.6,97.9,13.7,1
HP,Kinnaur,766,667,161,Rural,71.2,21.6,1048,807,95.4,99.1,92.7,67.1,66.7,99.7,26.2,1
DL,Central,722,663,76,Urban,83.8,21.8,860,1596,92,99.6,95.1,74.6,97.8,99,18.4,1
MH,Sindhudurg,698,660,64,Rural,81.7,19.1,1001,824,100,98.2,75.1,77.6,38.7,88.1,10.8,1
NL,Mokokchung,808,644,89,Rural,90,21.2,926,1048,63.7,99.4,85.9,91.1,38.3,99.5,5,1
KL,Pathanamthitta,836,642,89,Rural,97,16.7,1105,1135,97.3,99.2,93,97.4,57.7,99.2,41.9,1
NL,Wokha,800,637,75,Rural,83.8,28.8,1027,1079,70.5,97.8,73.4,72.9,35.9,99.6,3.6,1
DL,East,698,615,70,Urban,85,21.2,874,854,87.2,99.8,92.1,80.8,98.2,96.9,13.5,1
MH,Mumbai,649,608,62,Urban,87.2,19.6,906,1033,95,99.2,99.6,39.2,89.2,98.1,14.7,1
DL,North West,599,607,74,Urban,80.3,26.4,834,727,86.6,99.5,79,66.2,96.8,98.1,13.8,1
DL,South,618,596,65,Urban,80.2,24.9,842,847,78,99.6,76.8,73.6,96.7,98.3,15.4,1
HP,Lahul and Spiti,724,592,169,Rural,65.7,19,994,787,95.1,97.8,97.1,52.5,59.9,99.7,21.3,1
DD,Daman,785,587,279,Urban,83.4,20.7,647,954,88.9,100,87.6,58.2,74.4,97.9,12.9,1
DL,New Delhi,603,534,67,Urban,82.7,18.8,788,1193,86,99.6,88.5,67.7,94.5,99.3,34.8,1
